年月日,列車番号,停車駅名,フェンダー部分(東京方向),台車部分,フェンダー部分(金沢方向),合計
2016-01-19,568E,富山,0.0,0.0,0.00039753600000000015,0.00039753600000000015
2016-01-19,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-19,574E,糸魚川,0.0,0.0,0.002556126,0.002556126
2016-01-19,3502E,富山,0.0,0.0,0.0,0.0
2016-01-19,9536E,富山,0.0,0.0,0.0,0.0
2016-01-20,564E,富山,0.0,0.0,0.0,0.0
2016-01-20,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,566E,富山,0.0,0.0,0.0,0.0
2016-01-20,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,568E,富山,0.0,0.0,0.0,0.0
2016-01-20,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,570E,富山,0.0,0.0,0.0,0.0
2016-01-20,9536E,富山,0.0,0.0,0.0,0.0
2016-01-20,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,574E,富山,0.0,0.0,0.0,0.0
2016-01-20,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,576E,富山,0.0,0.0,0.0,0.0
2016-01-20,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,578E,富山,0.0,0.0,0.0,0.0
2016-01-20,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,572E,富山,0.0,0.0,0.0,0.0
2016-01-20,590E,富山,0.0,0.0,0.0,0.0
2016-01-20,562E,富山,0.0,0.0,0.0,0.0
2016-01-20,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,3506E,富山,0.0,0.0,0.0,0.0
2016-01-20,3508E,富山,0.0,0.0,0.0,0.0
2016-01-20,3510E,富山,0.0,0.0,0.0,0.0
2016-01-20,3512E,富山,0.0,0.0,0.0,0.0
2016-01-20,3514E,富山,0.0,0.0,0.0,0.0
2016-01-20,3516E,富山,0.0,0.0,0.0,0.0
2016-01-20,3518E,富山,0.0,0.0,0.0,0.0
2016-01-20,3502E,富山,0.0,0.0,0.0,0.0
2016-01-20,552E,富山,0.0,0.0,0.0,0.0
2016-01-20,554E,富山,0.0,0.0,0.0,0.0
2016-01-20,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,556E,富山,0.0,0.0,0.0,0.0
2016-01-20,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,558E,富山,0.0,0.0,0.0,0.0
2016-01-20,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,560E,富山,0.0,0.0,0.0,0.0
2016-01-20,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-20,3504E,富山,0.0,0.0,0.0,0.0
2016-01-20,3500E,富山,0.0,0.0,0.0,0.0
2016-01-20,8532E,富山,0.0,0.0,0.0,0.0
2016-01-20,8528E,富山,0.0,0.0,0.0,0.0
2016-01-20,8530E,富山,0.0,0.0,0.0,0.0
2016-01-21,3514E,富山,0.0,0.0,0.0,0.0
2016-01-21,562E,富山,0.0,0.0,0.0,0.0
2016-01-21,9536E,富山,0.0,0.0,0.0014392510000000005,0.0014392510000000005
2016-01-21,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,3506E,富山,0.0,0.0,0.0007403770000000003,0.0007403770000000003
2016-01-21,564E,富山,0.0,0.0,0.0,0.0
2016-01-21,3516E,富山,0.0,0.0,0.0,0.0
2016-01-21,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,578E,富山,0.0,0.0,0.0,0.0
2016-01-21,8528E,富山,0.0,0.0,0.0,0.0
2016-01-21,566E,富山,0.0,0.0,0.0,0.0
2016-01-21,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,3512E,富山,0.0,0.0,0.0,0.0
2016-01-21,8532E,富山,0.0,0.0,0.0,0.0
2016-01-21,570E,富山,0.0,0.0,0.0,0.0
2016-01-21,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,3510E,富山,0.0,0.0,0.0,0.0
2016-01-21,572E,富山,0.0,0.0,0.0,0.0
2016-01-21,576E,富山,0.0,0.0,0.0,0.0
2016-01-21,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,574E,富山,0.0,0.0,0.0,0.0
2016-01-21,3508E,富山,0.0,0.0,0.001402784,0.001402784
2016-01-21,568E,富山,0.0,0.0,0.0,0.0
2016-01-21,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,3504E,富山,0.0,0.0,0.0005307119999999998,0.0005307119999999998
2016-01-21,3518E,富山,0.0,0.0,0.0,0.0
2016-01-21,554E,富山,0.0,0.0,0.0006074480000000001,0.0006074480000000001
2016-01-21,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,556E,富山,0.0,0.0,2.6969e-05,2.6969e-05
2016-01-21,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,8530E,富山,0.0,0.0,0.0,0.0
2016-01-21,558E,富山,0.0,0.0,5.319599999999999e-05,5.319599999999999e-05
2016-01-21,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,552E,富山,0.0,0.0,0.0,0.0
2016-01-21,3500E,富山,0.0,0.0,0.002209692,0.002209692
2016-01-21,590E,富山,0.0,0.0,0.0,0.0
2016-01-21,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,560E,富山,0.0,0.0,0.0,0.0
2016-01-21,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-21,3502E,富山,0.0,0.0,0.001755131,0.001755131
2016-01-22,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,3510E,富山,0.0,0.0,0.0,0.0
2016-01-22,556E,富山,0.0,0.0,0.003999459,0.003999459
2016-01-22,3502E,富山,0.0,0.0,0.0,0.0
2016-01-22,9536E,富山,0.0,0.0,0.0,0.0
2016-01-22,572E,富山,0.0,0.0,0.0,0.0
2016-01-22,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,554E,糸魚川,0.0,0.0,5.440099999999999e-05,5.440099999999999e-05
2016-01-22,554E,富山,0.0,0.0,0.0,0.0
2016-01-22,574E,富山,0.0,0.0,0.0,0.0
2016-01-22,3508E,富山,0.0,0.0,0.0,0.0
2016-01-22,3518E,富山,0.0,0.0,0.0,0.0
2016-01-22,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,562E,富山,0.0,0.0,0.0,0.0
2016-01-22,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,3516E,富山,0.0,0.0,0.0,0.0
2016-01-22,564E,富山,0.0,0.0,0.0,0.0
2016-01-22,560E,富山,0.0,0.0,0.0,0.0
2016-01-22,552E,富山,0.0,0.0,0.0,0.0
2016-01-22,566E,富山,0.0,0.0,0.0,0.0
2016-01-22,3514E,富山,0.0,0.0,0.0,0.0
2016-01-22,570E,富山,0.0,0.0,0.0,0.0
2016-01-22,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,8530E,富山,0.0,0.0,0.0,0.0
2016-01-22,558E,富山,0.0,0.0,0.0,0.0
2016-01-22,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,3512E,富山,0.0,0.0,0.0,0.0
2016-01-22,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,568E,富山,0.0,0.0,0.0,0.0
2016-01-22,8532E,富山,0.0,0.0,0.0,0.0
2016-01-22,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,576E,富山,0.0,0.0,0.0,0.0
2016-01-22,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-22,590E,富山,0.0,0.0,0.0,0.0
2016-01-22,3500E,富山,0.0,0.0,0.0,0.0
2016-01-22,8528E,富山,0.0,0.0,0.0,0.0
2016-01-22,578E,富山,0.0,0.0,0.0,0.0
2016-01-22,3504E,富山,0.0,0.0,0.000920336,0.000920336
2016-01-22,3506E,富山,0.0,0.0,0.0,0.0
2016-01-23,560E,富山,0.0,0.0,0.0,0.0
2016-01-23,8530E,富山,0.0,0.0,0.0,0.0
2016-01-23,8532E,富山,0.0,0.0,0.0,0.0
2016-01-23,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,572E,富山,0.0,0.0,0.0,0.0
2016-01-23,576E,富山,0.0,0.0,0.0,0.0
2016-01-23,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,9536E,富山,0.0,0.0,0.0,0.0
2016-01-23,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,568E,富山,0.0,0.0,0.0,0.0
2016-01-23,3510E,富山,0.0,0.0,0.0,0.0
2016-01-23,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,552E,富山,0.0,0.0,0.0,0.0
2016-01-23,3502E,富山,0.0,0.0,0.0,0.0
2016-01-23,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,590E,富山,0.0,0.0,0.0005235949999999999,0.0005235949999999999
2016-01-23,570E,富山,0.0,0.0,0.0,0.0
2016-01-23,3512E,富山,0.0,0.0,0.0,0.0
2016-01-23,3518E,富山,0.0,0.0,0.0,0.0
2016-01-23,562E,富山,0.0,0.0,0.0,0.0
2016-01-23,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,3504E,富山,0.0,0.0,0.0,0.0
2016-01-23,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,554E,富山,0.0,0.0,0.0,0.0
2016-01-23,578E,富山,0.0,0.0,0.0,0.0
2016-01-23,3508E,富山,0.0,0.0,0.0,0.0
2016-01-23,3506E,富山,0.0,0.0,0.0,0.0
2016-01-23,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,566E,富山,0.0,0.0,0.0,0.0
2016-01-23,574E,富山,0.0,0.0,0.0,0.0
2016-01-23,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,564E,富山,0.0,0.0,0.0,0.0
2016-01-23,3516E,富山,0.0,0.0,0.0,0.0
2016-01-23,556E,富山,0.0,0.0,0.0,0.0
2016-01-23,558E,富山,0.0,0.0,0.0,0.0
2016-01-23,3514E,富山,0.0,0.0,0.0,0.0
2016-01-23,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-23,3500E,富山,0.0,0.0,0.0,0.0
2016-01-23,8528E,富山,0.0,0.0,0.0,0.0
2016-01-24,568E,富山,0.0,0.007332635000000001,0.000321713,0.0076543480000000035
2016-01-24,564E,糸魚川,0.0005861789999999999,0.00816389,0.004803346,0.013553415000000004
2016-01-24,562E,糸魚川,0.0,0.0032001569999999986,0.0013672100000000002,0.004567366999999997
2016-01-24,8532E,富山,0.0,0.0,0.0,0.0
2016-01-24,3518E,富山,0.000234607,0.002039166000000001,0.000762694,0.003036467000000001
2016-01-24,578E,富山,0.0,0.008201353999999994,0.000922373,0.009123726999999995
2016-01-24,566E,糸魚川,0.0002799579999999998,0.004217672,0.007262128000000001,0.011759758
2016-01-24,8528E,富山,0.0,0.005940972999999997,0.0008700180000000003,0.006810990999999999
2016-01-24,562E,富山,0.0,0.008348791999999996,0.000134569,0.008483360999999997
2016-01-24,9536E,富山,0.0,0.003960328,0.0015404560000000002,0.0055007840000000025
2016-01-24,3512E,富山,0.0,0.0,0.0,0.0
2016-01-24,566E,富山,0.0,0.004319089999999998,0.00214686,0.00646595
2016-01-24,3506E,富山,0.0,0.001822187,0.0014844030000000002,0.00330659
2016-01-24,578E,糸魚川,0.0,0.0009222639999999998,0.0009641149999999998,0.001886379
2016-01-24,3514E,富山,0.0,0.00023999,0.00029727599999999996,0.0005372660000000001
2016-01-24,568E,糸魚川,0.0,0.010135958999999995,0.0060892310000000005,0.016225190000000004
2016-01-24,564E,富山,0.0,0.006243474999999997,0.00123848,0.0074819549999999985
2016-01-24,3516E,富山,0.0,0.0022106060000000004,0.000315171,0.002525777000000001
2016-01-24,3502E,富山,0.0,0.008070538000000002,0.001934631,0.010005169000000005
2016-01-24,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-24,554E,富山,0.0,0.0017423200000000005,0.001387966,0.003130286
2016-01-24,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-24,574E,富山,0.0,0.0,0.0,0.0
2016-01-24,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-24,3508E,富山,0.0,0.004924149999999997,0.001356421,0.006280570999999997
2016-01-24,590E,糸魚川,0.000168032,0.0007817110000000006,0.0006640670000000003,0.0016138100000000007
2016-01-24,556E,富山,0.0,0.0040795410000000025,0.0014739179999999998,0.005553459000000003
2016-01-24,556E,糸魚川,0.0,0.0013460539999999993,0.00378456,0.005130614
2016-01-24,572E,糸魚川,0.00025707400000000004,0.0005903070000000003,0.000377383,0.001224764
2016-01-24,3504E,富山,0.0,0.0043830610000000015,0.002329589,0.0067126500000000006
2016-01-24,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-24,572E,富山,0.0,0.004397935,0.0007403490000000001,0.005138283999999999
2016-01-24,576E,富山,0.0,0.0,0.0,0.0
2016-01-24,552E,富山,0.0,0.007543095000000005,0.0005661930000000001,0.008109288000000006
2016-01-24,558E,富山,0.0,0.005281121000000002,0.001304627,0.006585748000000001
2016-01-24,3500E,富山,0.0,0.003561721,0.000532691,0.004094412
2016-01-24,558E,糸魚川,0.0,0.000714525,0.000870809,0.0015853339999999994
2016-01-24,3510E,富山,0.0,0.0016684389999999994,0.00050151,0.002169949
2016-01-24,8530E,富山,0.0,0.0008928159999999998,7.694899999999997e-05,0.000969765
2016-01-24,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-24,560E,糸魚川,0.0,0.002414617,0.000826736,0.003241353
2016-01-24,590E,富山,0.0014335850000000002,0.012741750000000008,0.0007129759999999999,0.014888311000000006
2016-01-24,560E,富山,0.0,0.0020886470000000003,0.001377541,0.003466188000000001
2016-01-24,570E,富山,0.000134056,0.0027253729999999997,7.406100000000001e-05,0.0029334900000000004
2016-01-25,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,564E,富山,0.0,0.0,0.0,0.0
2016-01-25,562E,富山,0.0,0.0,0.0,0.0
2016-01-25,560E,糸魚川,0.0,0.0,0.003179315,0.003179315
2016-01-25,578E,富山,0.0,0.0,0.0,0.0
2016-01-25,554E,富山,0.00017709,0.015982363999999992,0.001981795,0.018141248999999988
2016-01-25,3502E,富山,0.002815573,0.017437412,0.006156379000000001,0.026409364
2016-01-25,564E,糸魚川,0.0,0.0,0.000250589,0.000250589
2016-01-25,554E,糸魚川,7.0052e-05,0.007767235000000002,0.008094193999999999,0.015931481
2016-01-25,3518E,富山,0.0,0.0,0.0,0.0
2016-01-25,552E,糸魚川,3.9787e-05,0.008268865000000005,0.004579231,0.012887883000000006
2016-01-25,556E,糸魚川,0.007585984999999998,0.008347887000000002,0.00232327,0.018257141999999987
2016-01-25,8530E,富山,0.0,0.0,0.0,0.0
2016-01-25,562E,糸魚川,0.0,0.0,0.0019213420000000001,0.0019213420000000001
2016-01-25,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,3504E,富山,0.0006044690000000001,0.014211067000000006,0.001347688,0.016163223999999997
2016-01-25,3500E,富山,0.0007865089999999999,0.012727308000000005,0.00237703,0.01589084700000001
2016-01-25,590E,富山,0.0,0.0,0.0,0.0
2016-01-25,558E,富山,0.018075197,0.027833956000000024,0.003510731,0.04941988400000004
2016-01-25,558E,糸魚川,0.015129635,0.012233852999999994,0.002867428,0.030230916000000014
2016-01-25,9536E,富山,0.0,0.010097221000000002,0.0017970000000000004,0.011894220999999998
2016-01-25,3516E,富山,0.0,0.0,0.0,0.0
2016-01-25,552E,富山,0.0,0.00470506,0.0005053109999999999,0.0052103709999999975
2016-01-25,556E,富山,0.008521452999999998,0.02663033199999997,0.002179802,0.03733158699999999
2016-01-25,560E,富山,0.0,0.0,0.0025482829999999997,0.0025482829999999997
2016-01-25,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,3506E,富山,9.9152e-05,0.004836457000000002,0.0016691209999999993,0.006604730000000002
2016-01-25,8532E,富山,0.0,0.0,0.0,0.0
2016-01-25,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,3508E,富山,0.006735714999999999,0.0024067389999999998,0.0027606490000000004,0.011903103000000005
2016-01-25,570E,富山,0.0,0.0,0.0,0.0
2016-01-25,568E,富山,0.0,0.0,0.0,0.0
2016-01-25,8528E,富山,0.0,0.0,0.0030005850000000005,0.0030005850000000005
2016-01-25,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,574E,富山,0.0,0.0,0.0,0.0
2016-01-25,3512E,富山,0.0,0.0,0.0,0.0
2016-01-25,3510E,富山,0.0,0.0,0.0,0.0
2016-01-25,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,572E,富山,0.0,0.0,0.0,0.0
2016-01-25,576E,富山,0.0,0.0,0.0,0.0
2016-01-25,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-25,3514E,富山,0.0,0.0,0.0,0.0
2016-01-25,566E,富山,0.0,0.0,0.0,0.0
2016-01-26,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,8528E,富山,0.0,0.0,0.0,0.0
2016-01-26,552E,富山,0.0,0.0,0.0,0.0
2016-01-26,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,570E,富山,0.0,0.0,0.0,0.0
2016-01-26,558E,富山,0.0,0.0,0.0,0.0
2016-01-26,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,568E,富山,0.0,0.0,0.0,0.0
2016-01-26,3512E,富山,0.0,0.0,0.0,0.0
2016-01-26,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,3516E,富山,0.0,0.0,0.0,0.0
2016-01-26,3502E,富山,0.0,0.0,0.0,0.0
2016-01-26,3506E,富山,0.0,0.0,0.0,0.0
2016-01-26,572E,富山,0.0,0.0,0.0,0.0
2016-01-26,590E,富山,0.0,0.0,0.0,0.0
2016-01-26,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,562E,富山,0.0,0.0,0.0,0.0
2016-01-26,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,560E,富山,0.0,0.0,0.0,0.0
2016-01-26,3500E,富山,0.0,0.0,0.0,0.0
2016-01-26,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,8532E,富山,0.0,0.0,0.0,0.0
2016-01-26,3514E,富山,0.0,0.0,0.0,0.0
2016-01-26,554E,富山,0.0,0.0,0.0,0.0
2016-01-26,3510E,富山,0.0,0.0,0.0,0.0
2016-01-26,564E,富山,0.0,0.0,0.0,0.0
2016-01-26,566E,富山,0.0,0.0,0.0,0.0
2016-01-26,578E,富山,0.0,0.0,0.0,0.0
2016-01-26,9536E,富山,0.0,0.0,0.0,0.0
2016-01-26,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,574E,富山,0.0,0.0,0.0,0.0
2016-01-26,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,3504E,富山,0.0,0.0,0.0,0.0
2016-01-26,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,8530E,富山,0.0,0.0,0.0,0.0
2016-01-26,3508E,富山,0.0,0.0,0.0,0.0
2016-01-26,576E,富山,0.0,0.0,0.0,0.0
2016-01-26,556E,富山,0.0,0.0,0.0,0.0
2016-01-26,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-26,3518E,富山,0.0,0.0,0.0,0.0
2016-01-27,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,576E,富山,0.0,0.0,0.0,0.0
2016-01-27,570E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,558E,富山,0.0,0.0,0.0,0.0
2016-01-27,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,554E,富山,0.0,0.0,0.0,0.0
2016-01-27,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,574E,富山,0.0,0.0,0.0,0.0
2016-01-27,8530E,富山,0.0,0.0,0.0,0.0
2016-01-27,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,3500E,富山,0.0,0.0,0.0,0.0
2016-01-27,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,556E,富山,0.0,0.0,0.0,0.0
2016-01-27,3508E,富山,0.0,0.0,0.0,0.0
2016-01-27,556E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,552E,富山,0.0,0.0,0.0,0.0
2016-01-27,572E,富山,0.0,0.0,0.0,0.0
2016-01-27,8528E,富山,0.0,0.0,0.0,0.0
2016-01-27,590E,富山,0.0,0.0,0.0,0.0
2016-01-27,3510E,富山,0.0,0.0,0.0,0.0
2016-01-27,560E,富山,0.0,0.0,0.0,0.0
2016-01-27,570E,富山,0.0,0.0,0.0,0.0
2016-01-27,3514E,富山,0.0,0.0,0.0,0.0
2016-01-27,564E,富山,0.0,0.0,0.0,0.0
2016-01-27,566E,富山,0.0,0.0,0.0,0.0
2016-01-27,578E,富山,0.0,0.0,0.0,0.0
2016-01-27,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,8532E,富山,0.0,0.0,0.0,0.0
2016-01-27,3512E,富山,0.0,0.0,0.0,0.0
2016-01-27,3516E,富山,0.0,0.0,0.0,0.0
2016-01-27,568E,富山,0.0,0.0,0.0,0.0
2016-01-27,9536E,富山,0.0,0.0,0.0,0.0
2016-01-27,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,560E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,568E,糸魚川,0.0,0.0,0.0,0.0
2016-01-27,562E,富山,0.0,0.0,0.0,0.0
2016-01-27,3506E,富山,0.0,0.0,0.0,0.0
2016-01-27,3502E,富山,0.0,0.0,0.0,0.0
2016-01-27,3518E,富山,0.0,0.0,0.0,0.0
2016-01-27,3504E,富山,0.0,0.0,0.0,0.0
2016-01-28,578E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,558E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,574E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,554E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,8532E,富山,0.0,0.0,0.0,0.0
2016-01-28,8530E,富山,0.0,0.0,0.0,0.0
2016-01-28,8528E,富山,0.0,0.0,0.0,0.0
2016-01-28,562E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,566E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,576E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,574E,富山,0.0,0.0,0.0,0.0
2016-01-28,578E,富山,0.0,0.0,0.0,0.0
2016-01-28,3518E,富山,0.0,0.0,0.0,0.0
2016-01-28,576E,富山,0.0,0.0,0.0,0.0
2016-01-28,552E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,554E,富山,0.0,0.0,0.0,0.0
2016-01-28,564E,富山,0.0,0.0,0.0,0.0
2016-01-28,560E,富山,0.0,0.0,0.0,0.0
2016-01-28,3514E,富山,0.0,0.0,0.0,0.0
2016-01-28,564E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,590E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,566E,富山,0.0,0.0,0.0,0.0
2016-01-28,3504E,富山,0.0,0.0,0.0,0.0
2016-01-28,572E,糸魚川,0.0,0.0,0.0,0.0
2016-01-28,3508E,富山,0.0,0.0,0.0,0.0
2016-01-28,590E,富山,0.0,0.0,0.0,0.0
